id,LEVEL3_COD,invasive,e.species,e.n,e.sd,n.species,n.n,n.sd,e.vector,n.vector,continent,n,longitude,latitude,growthform,latitude.abs,yi,vi,phenology
1,ABT,Lythrum salicaria,Lythrum salicaria,45,15.904796849314465,Circaea alpina,23,15.452425669695543,232.78824449938836,196.25664674759193,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-2.292198778678049,0.10433412456953112,Flowering
2,ABT,Lythrum salicaria,Lythrum salicaria,45,15.904796849314465,Epilobium angustifolium,1414,19.286261062812912,232.78824449938836,209.65965616339827,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-1.2044410387065168,0.023426583921257692,Flowering
3,ABT,Lythrum salicaria,Lythrum salicaria,45,15.904796849314465,Epilobium ciliatum,49,24.40452588149737,232.78824449938836,209.59253146824074,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-1.107236411586509,0.04915151565318243,Flowering
4,ABT,Lythrum salicaria,Lythrum salicaria,45,15.904796849314465,Epilobium latifolium,399,18.946795936082868,232.78824449938836,202.63864946033394,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-1.6124543237398816,0.02765642588880091,Flowering
5,ABT,Lythrum salicaria,Lythrum salicaria,45,15.904796849314465,Oenothera biennis,76,24.858150382964244,232.78824449938836,215.3970048106699,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-0.7863433715186787,0.03793522397530963,Flowering
6,ABT,Lythrum salicaria,Lythrum salicaria,45,15.904796849314465,Oenothera cespitosa,47,18.555055646777877,232.78824449938836,157.70711736417326,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-4.301143726916536,0.1440414123125197,Flowering
7,ABT,Lythrum salicaria,Lythrum salicaria,45,15.904796849314465,Oenothera nuttallii,45,16.734822664547877,232.78824449938836,208.52488941706787,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-1.473552883662685,0.0565075450052812,Flowering
8,ABT,Lythrum salicaria,Lythrum salicaria,45,15.904796849314465,Oenothera suffrutescens,275,19.756667215890115,232.78824449938836,181.64465258394407,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-2.6478344426059683,0.0368133159139772,Flowering
9,ABT,Lythrum salicaria,Lythrum salicaria,45,15.904796849314465,Oenothera villosa,56,12.951805292312699,232.78824449938836,196.16595805761747,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-2.5345356316751344,0.07188070601120108,Flowering
10,ALA,Pueraria montana,Pueraria montana,108,28.469375130569166,Amphicarpaea bracteata,22,10.538364262433282,226.243315885325,253.32442331645453,Northern America,4787,-86.83075751119802,32.7810083347155,Herbaceous,32.7810083347155,1.020660085041315,0.05872052397994527,Flowering
11,ARI,Tamarix ramosissima,Tamarix ramosissima,76,73.36631231027908,Eriogonum corymbosum,65,30.66919833520686,124.59332571566486,262.4599398866489,Northern America,5337,-111.65286061285502,34.279012043275934,Woody,34.279012043275934,2.3735711356795215,0.048520665923340374,Flowering
12,ARI,Tamarix ramosissima,Tamarix ramosissima,76,73.36631231027908,Eriogonum fasciculatum,501,60.542008372389795,124.59332571566486,88.58052471214333,Northern America,5337,-111.65286061285502,34.279012043275934,Woody,34.279012043275934,-0.5767033711514823,0.015442106168272208,Flowering
13,ARI,Tamarix ramosissima,Tamarix ramosissima,76,73.36631231027908,Eriogonum jamesii,39,39.92758330020138,124.59332571566486,227.75619070065815,Northern America,5337,-111.65286061285502,34.279012043275934,Woody,34.279012043275934,1.5987287465146636,0.049911675181921425,Flowering
14,ARI,Tamarix ramosissima,Tamarix ramosissima,76,73.36631231027908,Eriogonum microtheca,32,33.296728184752645,124.59332571566486,253.77129915933435,Northern America,5337,-111.65286061285502,34.279012043275934,Woody,34.279012043275934,1.9951695606837532,0.06283706869924488,Flowering
15,ARI,Tamarix ramosissima,Tamarix ramosissima,76,73.36631231027908,Eriogonum wrightii,243,42.86784045808982,124.59332571566486,297.6605728978992,Northern America,5337,-111.65286061285502,34.279012043275934,Woody,34.279012043275934,3.3374324694958215,0.0347315152568063,Flowering
16,ARK,Pueraria montana,Pueraria montana,25,25.563241034104017,Amphicarpaea bracteata,36,10.005585040424387,239.10248846912984,244.63259845003702,Northern America,3279,-92.44611055054087,34.89484509778847,Herbaceous,34.89484509778847,0.30273851761453885,0.06852901228636342,Flowering
17,ASS,Lantana camara,Lantana camara,40,106.77975392854896,Papilionanthe teres,21,18.593192684188395,255.34189340202292,114.61835138930971,Asia-Tropical,8136,92.84621514787054,25.476532278775597,Woody,25.476532278775597,-1.5879516723419105,0.0932878223214531,Flowering
